objectname,objectid,objecttype,minplayers,maxplayers,ledrow,ledstart,ledend,orientation
1830: Railways & Robber Barons,421,thing,2,7,0,0,8,0
1941: Race to Moscow,190572,thing,1,4,0,5,13,0
7 Wonders,68448,thing,2,7,0,9,17,0
7 Wonders Duel,173346,thing,2,2,0,15,28,1
878 Vikings: Invasions of England,204516,thing,2,4,0,30,38,0
Abomination: The Heir of Frankenstein,239472,thing,2,4,0,88,96,0
Above and Below,172818,thing,2,4,0,27,35,0
Adrenaline,202408,thing,3,5,0,55,63,0
Agricola,31260,thing,1,5,0,48,61,1
Alchemists,161970,thing,2,4,0,29,42,1